country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,,,,,,,,,,,,,,,,,,,,0.553,,1.56,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,5.27,4.48,4.89,5.65,5.28,5.31,5.56,6.02,6.23,5.92,5.22,4.74,4.25,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,1.04,
Argentina,,,,,,,,,,,,,,,1.73,1.4,1.12,,0.887,0.933,0.873,0.79,0.818,0.805,0.863,,,1.15,1.29,1.44,1.38
Armenia,,,,,,,,,,,,,,,,,,3.17,7.58,,6.77,,5.79,7.75,7.13,7.09,5.38,5.08,5.47,5.29,
Australia,1.24,1.85,2.14,2.14,1.93,1.73,1.72,1.68,1.57,1.37,1.25,1.34,1.3,1.2,1.08,1.02,0.953,0.887,0.877,1.14,1.07,1.06,1.1,1.16,1.26,1.27,1.18,1.17,1.11,,
Austria,,,,,0.859,0.88,1.07,1.15,1.14,1.07,0.984,0.797,0.743,0.908,1.19,1.18,1.14,1.07,0.878,1.07,1.05,0.99,1.06,1.18,1.32,1.43,1.54,1.43,1.11,0.954,1.16
Azerbaijan,,,,,,,,,,,,,,,,,,,,2.54,2.44,2.39,2.29,2.2,2.18,2.21,2.25,2.16,2.15,2.1,
Belgium,,,2.01,2.29,2.96,2.98,3.01,2.85,2.96,2.71,2.03,1.71,1.95,2.09,2.17,2.47,2.35,2.14,1.89,2.1,2.45,2.02,2.02,2.38,2.49,2.46,2.25,1.99,1.64,1.38,1.43
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501,,
Bangladesh,,,,,,,,,,,,,,,,,0.117,,,,1.16,,,1,,,,0.573,,,
Bulgaria,,,,,,,,,,,5.33,6.78,6.22,4.7,3.78,3.17,2.79,2.33,1.77,1.96,3.19,3.74,4.04,4.4,4.05,3.23,2.55,2.07,1.8,1.42,1.5
