Region/country/area,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa,Total renewable energy,22030.029,22169.334,22389.918,22786.277,22783.831,22930.271,22950.874,23288.235,23776.891,25865.036,27027.105,27473.238,28444.796,30648.425,32660.941,34981.617,37642.861,43090.222,48443.137,50575.31,53607.945,55704.846
Algeria,Total renewable energy,276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,252.6,252.6,252.6,252.6,263.9,311.9,481.9,663.2,686,686,686,686
Angola,Total renewable energy,235.579,235.613,235.765,235.824,495.998,496.195,496.372,758.238,792.375,792.879,794.677,795.297,882.783,963.978,1032.141,1033.046,1764.816,2457.656,3125.656,3459.656,3793.656,3793.656
Benin,Total renewable energy,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,1.7,3.4,3.4,3.4,3.4,3.44,3.44
Botswana,Total renewable energy,0,0,0,0,0,0,0,0,0,0.02,0.139,0.169,1.615,1.715,1.86,2.153,3.279,3.401,3.706,5.906,5.943,5.943
Burkina Faso,Total renewable energy,32.5,32.5,32.5,32.7,33.1,33.2,33.2,33.6,34.3,35,35.6,37.8,37.8,38.45,39.15,40.9,42.9,79.7,94.7,97.787,97.787,97.787
Burundi,Total renewable energy,54.253,54.253,54.253,54.253,54.253,54.353,54.453,54.553,54.653,54.653,54.853,55.553,56.356,57.356,57.556,57.856,58.856,57.386,57.386,57.386,57.386,57.386
Cabe Verde,Total renewable energy,0,0,2.1,2.68,2.4,2.4,2.1,2.1,2.1,2.1,7.3,22.5,32.774,32.851,33.005,33.318,33.374,33.435,35.336,35.381,35.381,35.381
Cameroon,Total renewable energy,719.3,719.3,719.3,719.4,719.4,719.4,719.4,719.5,719.5,719.8,724.3,730.9,731.3,736.1,738.1,739.9,741.5,743.896,746.492,826.492,826.617,826.742
Central African Republic,Total renewable energy,18.85,18.85,18.85,18.85,18.85,18.95,18.95,18.95,18.95,18.95,18.95,19.05,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.166,19.166,19.166
Chad,Total renewable energy,2,2,2,2,2,2,2,2,2,2,2.002,2.002,2.003,2.05,2.05,2.172,3.273,3.273,3.29,3.29,3.827,3.827
Comoros,Total renewable energy,0,0,0.61,0.61,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448
"Congo, Dem. Rep.",Total renewable energy,2489.91,2510.16,2510.16,2515.16,2515.16,2515.16,2515.16,2515.16,2514.16,2514.16,2514.16,2514.183,2514.247,2515.349,2515.568,2528.732,2545.397,2560.195,2735.687,2745.587,2745.587,2745.587
"Congo, Rep.",Total renewable energy,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.27,206.32,206.43,206.66,206.66,213.16,226.67,226.82,226.82,226.82,226.82
Cote d'Ivoire,Total renewable energy,604.033,604.054,604.068,604.088,604.147,604.158,604.18,604.369,605.094,605.404,605.553,605.667,605.973,606.908,607.834,609.059,609.059,887.278,892.144,892.144,892.144,892.144
Djibouti,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.362,0.362,0.362,0.362,0.362,20.362
Egypt,Total renewable energy,2927.1,2927.5,2927.6,2928.4,3004.4,3004.4,3089.4,3169.5,3262.9,3308.3,3437,3457,3457,3457,3457,3658,3681,3802,4793.2,5689.7,5966.39,6226.39
Equatorial Guinea,Total renewable energy,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,125.6,125.6,125.6,125.6,125.6,125.6,127.14,127.14,127.14,127.14
Eritrea,Total renewable energy,0,0,0,0,0,0,0,0.826,0.826,0.826,0.829,0.83,0.848,0.86,8.684,8.684,9.034,11.034,18.534,20.784,23.034,25.284
Eswatini,Total renewable energy,103.8,103.803,103.803,103.809,103.848,103.915,103.952,104.016,123.846,123.875,124.217,185.835,185.861,185.878,168.904,168.93,169.03,169.03,169.03,169.03,169.03,179.03
Ethiopia,Total renewable energy,405.65,477.65,477.65,511.65,721.65,721.65,721.65,721.651,721.651,1441.678,1901.685,2080.114,2080.927,2224.323,2230.11,2618.869,2649.025,4366.079,4450.931,4450.931,4712.769,4758.769
Gabon,Total renewable energy,170.2,170.2,170.3,170.3,170.3,170.3,170.4,170.4,170.6,171.6,171.6,171.6,171.6,331.6,331.6,332.8,332.887,332.887,332.887,332.887,332.887,332.887
Gambia,Total renewable energy,0,0.012,0.068,0.209,0.393,0.646,0.728,1.169,1.409,1.776,1.927,2.009,3.041,3.076,3.32,3.38,3.39,3.392,3.392,3.392,3.392,3.392
Ghana,Total renewable energy,1185.774,1185.774,1185.774,1185.774,1185.774,1185.774,1184.104,1184.104,1186.774,1186.774,1186.774,1186.774,1186.774,1590.264,1594,1623.779,1630.269,1639.537,1670.448,1677.274,1700.291,1700.291
Guinea,Total renewable energy,128.22,128.22,128.22,128.22,128.22,128.22,128.22,128.22,128.22,128.82,128.82,128.82,128.84,131.631,131.631,381.533,381.539,381.539,381.583,381.583,381.583,831.583
Guinea-Bissau,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.312,0.312,1.169,1.169,1.169,1.169
Kenya,Total renewable energy,769.237,769.24,769.24,769.24,839.255,839.307,841.307,841.322,901.483,948.584,1039.669,1040.893,1095.362,1107.22,1277.767,1591.65,1630.299,1667.876,2057.43,2064.13,2243.414,2384.336
Lesotho,Total renewable energy,75.42,75.42,75.42,74.75,74.75,74.75,72.75,72.75,72.75,72.75,72.75,72.75,74.75,75.113,75.113,75.113,75.113,75.113,75.113,75.113,75.113,75.113
Liberia,Total renewable energy,4,4,4,4,4,4,4,4,4,4,4.005,4.005,4.04,4.04,4.04,4.057,26.059,94.406,94.583,94.583,94.583,94.583
Libya,Total renewable energy,0,0,0,0.2,0.7,1.2,1.7,2.2,2.7,3.2,3.7,4.2,4.9,4.9,4.9,4.9,4.9,5.11,5.11,5.11,5.111,6.333
Madagascar,Total renewable energy,105.79,105.797,105.797,105.85,105.943,105.943,106.143,106.288,121.738,122.372,130.725,131.23,164.9,167.435,170.08,173.11,175.11,177.21,197.21,197.21,197.21,197.21
Malawi,Total renewable energy,299.94,299.94,299.84,299.24,299.24,299.24,299.305,299.479,299.502,299.732,299.966,301.055,301.981,304.695,370.964,375.387,375.687,382.767,404.759,466.088,467.4,527.4
Mali,Total renewable energy,84.787,84.958,285.438,285.828,286.394,286.711,287.504,288.405,288.922,288.922,291.449,294.857,300.741,363.041,371.45,372.478,372.871,374.552,374.552,374.597,424.842,454.842
Mauritania,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,22.551,52.566,69.166,69.166,121.246,121.909,121.909,121.909
Mauritius,Total renewable energy,111.115,121.065,120.065,118.565,118.765,202.515,126.725,137.415,130.465,163.74,164.115,154.1,141.6,144.78,160.53,171.35,189.33,190.86,229.51,245.51,245.51,245.51
Mayotte,Total renewable energy,0,0,0,0,0,0,0,0,0.512,1.809,8.344,12.443,13.067,13.137,13.234,13.234,13.326,15.146,15.146,15.146,18,18
Morocco,Total renewable energy,1227.316,1227.616,1228.316,1327.516,1328.42,1329.32,1330.12,1391.265,1392.165,1519.765,1561.078,1595.707,1596.707,1836.707,2143.133,2307.033,2411.803,2539.828,3271.828,3271.836,3451.933,3522.233
Mozambique,Total renewable energy,2197.83,2197.83,2151.13,2151.13,2151.13,2178.63,2197.83,2164.83,2197.83,2197.83,2197.83,2198.33,2201.105,2204.705,2207.43,2210.59,2213.59,2232.59,2272.59,2272.59,2272.59,2272.59
Namibia,Total renewable energy,240.97,241.15,241.5,241.56,241.58,241.81,242.1,242.66,243.2,243.86,244.68,247.82,341.544,345.061,346.937,351.437,383.437,427.246,444.999,497.439,501.439,501.439
Niger,Total renewable energy,0.5,0.6,0.6,0.7,0.8,1,1.1,1.1,1.2,1.2,2.1,3,4,5,6,7,8,9.041,27.041,27.041,27.041,27.041
Nigeria,Total renewable energy,2085.2,2085.2,2085.2,2085.2,2085.2,2085.2,2085.2,2085.2,2085.2,2085.2,2086.4,2116.4,2131.6,2133.3,2135,2136.8,2139.43,2139.95,2140.115,2149.094,2149.563,2153.8
Reunion,Total renewable energy,143.6,143.6,143.6,143.6,159.463,163.576,179.075,183.23,189.43,221.93,281.53,323.33,345.23,348.43,359.43,380.33,382.5,383.9,386.1,428.44,442.44,454.44
Rwanda,Total renewable energy,41.1,41.1,41.1,41.1,41.1,41.1,40.835,41.185,41.191,41.391,50.691,56.367,57.824,61.903,77.396,109.372,118.596,127.091,137.421,148.786,158.736,158.736
Saint Helena,Total renewable energy,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,Total renewable energy,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.383,2.418,2.439,2.477,2.636,2.654,2.654,2.654,2.654
Senegal,Total renewable energy,10.3,10.44,10.58,10.72,10.86,11,11.14,11.3,11.56,11.87,28.29,29.79,30.9,32,34,34,67,132,173,251.2,354.7,421.2
Seychelles,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0,6.278,6.959,7.414,7.946,8.644,9.698,9.698,9.788,14.688
Sierra Leone,Total renewable energy,4,4,4,4,4.003,4.004,4.004,4.032,29.044,29.067,54.094,54.161,54.487,54.634,90.445,90.47,90.534,98.52,99.052,99.062,99.062,99.102
Somalia,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.2,2.3,2.97,7.47,10.444,10.618,10.618,19.088,27.088
South Africa,Total renewable energy,1248.396,1283.396,1286.556,1586.556,947.556,947.557,947.557,951.757,957.02,975.034,992.793,996.887,1002.537,1499.794,2710.366,3428.991,4650.361,6548.065,7907.264,8011.326,9517.913,10192.93
South Sudan,Total renewable energy,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0.16,0.428,0.449,0.737,0.835,0.835,1.278
Sudan,Total renewable energy,389,389,389.009,389.009,389.105,417.203,417.212,417.403,417.522,1417.882,1419.27,1420.506,1529.066,1535.666,1537.584,1540.911,1547.219,1556.8,1740.488,1761.489,1798.13,1816.86
Tanzania,Total renewable energy,610,610,610,619.5,619.5,603.6,603.7,603.7,604.2,605,616.231,631.503,638.164,640.674,651.948,659.375,670.429,675.377,679.176,682.949,685.349,685.349
Togo,Total renewable energy,67.4,67.4,67.4,66.6,66.6,66.6,66.6,66.6,66.641,66.645,66.724,66.858,66.953,67.033,67.422,68.304,68.745,69.141,70.104,72.074,72.802,122.841
Tunisia,Total renewable energy,73.487,73.621,73.734,82.514,82.554,82.564,82.576,82.586,82.686,117.086,117.503,118.586,240.571,271.537,312.074,329.547,340.06,349.076,374.749,391.049,405.89,405.89
Uganda,Total renewable energy,260.2,260.8,301.1,301.7,302.3,318,320.4,322.7,422.7,438.18,463.31,464.64,615.72,746,765.5,781.5,783.5,826.8,906.91,1177.26,1194.092,1198.527
Zambia,Total renewable energy,1802.257,1802.257,1802.257,1742.257,1742.257,1742.257,1742.257,1683.007,1713.407,1721.407,1935.407,1935.407,1942.407,2302.467,2302.467,2311.217,2431.251,2441.251,2442.381,2538.221,2538.221,2688.221
Zimbabwe,Total renewable energy,729.795,729.795,749.795,749.795,749.795,749.795,749.797,749.797,833.797,834.297,835.397,853.572,854.3,860.315,861.072,877.731,882.264,887.307,1191.662,1197.538,1199.338,1211.079
